Node:0,Node:1,Scalar:0,Scalar:1
728258,738458,1.0,1.0
731690,731790,1.0,1.0
731690,731691,1.0,1.0
728359,728459,1.0,1.0
728359,728360,1.0,1.0
721590,721691,1.0,1.0
708938,719138,1.0,1.0
718259,718359,1.0,1.0
718259,718260,1.0,1.0
711490,711590,1.0,1.0
708938,709242,1.0,1.0
708159,708160,1.0,1.0
701390,701391,1.0,1.0
699042,699242,1.0,1.0
697959,698059,1.0,1.0
689041,689141,1.0,1.0
689042,689043,1.0,1.0
680989,681089,1.0,1.0
678941,678942,1.0,1.0
676660,676760,1.0,1.0
676660,676661,1.0,1.0
668741,668841,1.0,1.0
667456,667556,1.0,1.0
666656,666662,1.0,1.0
666562,666563,1.0,1.0
656556,656563,1.0,1.0
640467,650667,1.0,1.0
638177,648377,1.0,1.0
646456,646462,1.0,1.0
631002,641202,1.0,1.0
640467,640771,1.0,1.0
640288,640289,1.0,1.0
638177,638279,1.0,1.0
636261,636361,1.0,1.0
636262,636263,1.0,1.0
631002,631103,1.0,1.0
630671,630771,1.0,1.0
630671,630672,1.0,1.0
628177,628179,1.0,1.0
620903,621003,1.0,1.0
620571,620671,1.0,1.0
620571,620572,1.0,1.0
618077,618078,1.0,1.0
610471,610472,1.0,1.0
607161,607261,1.0,1.0
600602,600702,1.0,1.0
600270,600370,1.0,1.0
506554,506654,1.0,1.0
486252,486352,1.0,1.0
100,5756,0.0314943,0.04409
10200,5756,0.0357517,0.04409
0,45,0.0361373,0.0454044
1020200,601959,0.039938,0.0545767
1030300,1025452,0.0440953,0.0591512
1020100,612060,0.046784,0.063652
10100,6363,0.0482628,0.0610919
1030200,1030240,0.0625847,0.0872795
721590,731690,1.0,1.0
728258,728359,1.0,1.0
699042,708938,1.0,1.0
666560,676660,1.0,1.0
630571,640467,1.0,1.0
628079,638177,1.0,1.0
630089,631002,1.0,1.0
630571,630671,1.0,1.0
5756,45,0.04409,0.0454044
711490,721590,1.0,1.0
718259,728258,1.0,1.0
689042,699042,1.0,1.0
620571,630571,1.0,1.0
45,601959,0.0454044,0.0545767
701390,711490,1.0,1.0
708159,718259,1.0,1.0
689041,689042,1.0,1.0
610471,620571,1.0,1.0
601959,1025452,0.0545767,0.0591512
680989,701390,1.0,1.0
697959,708159,1.0,1.0
678941,689041,1.0,1.0
600270,610471,1.0,1.0
1025452,6363,0.0591512,0.0610919
640288,680989,1.0,1.0
667456,697959,1.0,1.0
668741,678941,1.0,1.0
588864,600270,0.927893,1.0
6363,612060,0.0610919,0.063652
630089,640288,1.0,1.0
666656,667456,1.0,1.0
587538,668741,0.797511,1.0
612060,1030240,0.063652,0.0872795
628177,630089,1.0,1.0
666562,666656,1.0,1.0
1030240,587538,0.0872795,0.797511
628079,628177,1.0,1.0
666560,666562,1.0,1.0
587538,606350,0.797511,0.908151
620903,628079,1.0,1.0
656556,666560,1.0,1.0
618077,620903,1.0,1.0
646456,656556,1.0,1.0
607161,618077,1.0,1.0
636262,646456,1.0,1.0
600602,607161,1.0,1.0
636261,636262,1.0,1.0
506554,600602,1.0,1.0
606350,636261,0.908151,1.0
606350,588864,0.908151,0.927893
486252,506554,1.0,1.0
588864,486252,0.927893,1.0
